company_name,canonical_name,country,industry,aliases
Google,Google,USA,Technology,Google LLC|Alphabet Inc|Google India
Google LLC,Google,USA,Technology,Google
Alphabet Inc,Google,USA,Technology,Google
Google India,Google,USA,Technology,Google
Amazon,Amazon,USA,E-Commerce/Cloud,Amazon.com|AWS|Amazon Web Services|Amazon India
Amazon.com,Amazon,USA,E-Commerce/Cloud,Amazon
AWS,Amazon,USA,E-Commerce/Cloud,Amazon
Amazon Web Services,Amazon,USA,E-Commerce/Cloud,Amazon
Amazon India,Amazon,USA,E-Commerce/Cloud,Amazon
Microsoft,Microsoft,USA,Technology,Microsoft Corporation|Microsoft Corp|Microsoft India
Microsoft Corporation,Microsoft,USA,Technology,Microsoft
Microsoft Corp,Microsoft,USA,Technology,Microsoft
Microsoft India,Microsoft,USA,Technology,Microsoft
Meta,Meta,USA,Social Media,Facebook|Facebook Inc|Meta Platforms|Instagram|WhatsApp
Facebook,Meta,USA,Social Media,Meta
Facebook Inc,Meta,USA,Social Media,Meta
Meta Platforms,Meta,USA,Social Media,Meta
Instagram,Meta,USA,Social Media,Meta
WhatsApp,Meta,USA,Social Media,Meta
Apple,Apple,USA,Consumer Electronics,Apple Inc|Apple Computer|Apple India
Apple Inc,Apple,USA,Consumer Electronics,Apple
Apple Computer,Apple,USA,Consumer Electronics,Apple
Apple India,Apple,USA,Consumer Electronics,Apple
Netflix,Netflix,USA,Streaming,Netflix Inc|Netflix India
Netflix Inc,Netflix,USA,Streaming,Netflix
Netflix India,Netflix,USA,Streaming,Netflix
Salesforce,Salesforce,USA,CRM/SaaS,Salesforce.com|Salesforce Inc
Salesforce.com,Salesforce,USA,CRM/SaaS,Salesforce
Salesforce Inc,Salesforce,USA,CRM/SaaS,Salesforce
Oracle,Oracle,USA,Database/Cloud,Oracle Corporation|Oracle Corp|Oracle India
Oracle Corporation,Oracle,USA,Database/Cloud,Oracle
Oracle Corp,Oracle,USA,Database/Cloud,Oracle
Oracle India,Oracle,USA,Database/Cloud,Oracle
IBM,IBM,USA,IT Services,International Business Machines|IBM India
International Business Machines,IBM,USA,IT Services,IBM
IBM India,IBM,USA,IT Services,IBM
Intel,Intel,USA,Semiconductors,Intel Corporation|Intel India
Intel Corporation,Intel,USA,Semiconductors,Intel
Intel India,Intel,USA,Semiconductors,Intel
Nvidia,Nvidia,USA,Semiconductors/AI,NVIDIA Corporation|NVIDIA India
NVIDIA Corporation,Nvidia,USA,Semiconductors/AI,Nvidia
NVIDIA India,Nvidia,USA,Semiconductors/AI,Nvidia
Adobe,Adobe,USA,Software,Adobe Inc|Adobe Systems|Adobe India
Adobe Inc,Adobe,USA,Software,Adobe
Adobe Systems,Adobe,USA,Software,Adobe
Adobe India,Adobe,USA,Software,Adobe
Twitter/X,Twitter/X,USA,Social Media,Twitter Inc|X Corp
Twitter Inc,Twitter/X,USA,Social Media,Twitter/X
X Corp,Twitter/X,USA,Social Media,Twitter/X
LinkedIn,LinkedIn,USA,Professional Network,LinkedIn Corporation|LinkedIn India
LinkedIn Corporation,LinkedIn,USA,Professional Network,LinkedIn
LinkedIn India,LinkedIn,USA,Professional Network,LinkedIn
Uber,Uber,USA,Ride-Sharing,Uber Technologies|Uber India
Uber Technologies,Uber,USA,Ride-Sharing,Uber
Uber India,Uber,USA,Ride-Sharing,Uber
Airbnb,Airbnb,USA,Hospitality Tech,Airbnb Inc
Airbnb Inc,Airbnb,USA,Hospitality Tech,Airbnb
Stripe,Stripe,USA,FinTech,Stripe Inc
Stripe Inc,Stripe,USA,FinTech,Stripe
Snowflake,Snowflake,USA,Data Cloud,Snowflake Inc
Snowflake Inc,Snowflake,USA,Data Cloud,Snowflake
Databricks,Databricks,USA,Data/AI Platform,Databricks Inc
Databricks Inc,Databricks,USA,Data/AI Platform,Databricks
Palantir,Palantir,USA,Data Analytics,Palantir Technologies
Palantir Technologies,Palantir,USA,Data Analytics,Palantir
Zoom,Zoom,USA,Video Conferencing,Zoom Video Communications
Zoom Video Communications,Zoom,USA,Video Conferencing,Zoom
Slack,Slack,USA,Collaboration,Slack Technologies
Slack Technologies,Slack,USA,Collaboration,Slack
ServiceNow,ServiceNow,USA,IT Management,ServiceNow Inc
ServiceNow Inc,ServiceNow,USA,IT Management,ServiceNow
Workday,Workday,USA,HCM/ERP SaaS,Workday Inc
Workday Inc,Workday,USA,HCM/ERP SaaS,Workday
SAP,SAP,Germany,ERP/Business Software,SAP SE|SAP India|SAP Labs India
SAP SE,SAP,Germany,ERP/Business Software,SAP
SAP India,SAP,Germany,ERP/Business Software,SAP
SAP Labs India,SAP,Germany,ERP/Business Software,SAP
Tata Consultancy Services,Tata Consultancy Services,India,IT Services,TCS|TCS India|Tata Consultancy
TCS,Tata Consultancy Services,India,IT Services,Tata Consultancy Services
TCS India,Tata Consultancy Services,India,IT Services,Tata Consultancy Services
Tata Consultancy,Tata Consultancy Services,India,IT Services,Tata Consultancy Services
Infosys,Infosys,India,IT Services,Infosys Ltd|Infosys Limited|Infosys BPO
Infosys Ltd,Infosys,India,IT Services,Infosys
Infosys Limited,Infosys,India,IT Services,Infosys
Infosys BPO,Infosys,India,IT Services,Infosys
Wipro,Wipro,India,IT Services,Wipro Ltd|Wipro Limited|Wipro Technologies
Wipro Ltd,Wipro,India,IT Services,Wipro
Wipro Limited,Wipro,India,IT Services,Wipro
Wipro Technologies,Wipro,India,IT Services,Wipro
HCL Technologies,HCL Technologies,India,IT Services,HCL|HCL Tech|HCL Infosystems
HCL,HCL Technologies,India,IT Services,HCL Technologies
HCL Tech,HCL Technologies,India,IT Services,HCL Technologies
HCL Infosystems,HCL Technologies,India,IT Services,HCL Technologies
Tech Mahindra,Tech Mahindra,India,IT Services,Tech M|Tech Mahindra Ltd
Tech M,Tech Mahindra,India,IT Services,Tech Mahindra
Tech Mahindra Ltd,Tech Mahindra,India,IT Services,Tech Mahindra
Cognizant,Cognizant,India,IT Services,CTS|Cognizant Technology Solutions
CTS,Cognizant,India,IT Services,Cognizant
Cognizant Technology Solutions,Cognizant,India,IT Services,Cognizant
