role_title,canonical_title,seniority,domain,aliases
Intern Software Engineer,Intern Software Engineer,Intern,Software Engineering,Software Engineer
Junior Software Engineer,Junior Software Engineer,Junior,Software Engineering,Software Engineer
Associate Software Engineer,Associate Software Engineer,Associate,Software Engineering,Software Engineer|A. Software Engineer
Mid-level Software Engineer,Mid-level Software Engineer,Mid-level,Software Engineering,Software Engineer|M. Software Engineer
Senior Software Engineer,Senior Software Engineer,Senior,Software Engineering,Software Engineer|S. Software Engineer
Lead Software Engineer,Lead Software Engineer,Lead,Software Engineering,Software Engineer|L. Software Engineer
Principal Software Engineer,Principal Software Engineer,Principal,Software Engineering,Software Engineer|P. Software Engineer
Staff Software Engineer,Staff Software Engineer,Staff,Software Engineering,Software Engineer|S. Software Engineer
Senior Staff Software Engineer,Senior Staff Software Engineer,Senior Staff,Software Engineering,Software Engineer|S. Software Engineer
Architect Software Engineer,Architect Software Engineer,Architect,Software Engineering,Software Engineer|A. Software Engineer
Director Software Engineer,Director Software Engineer,Director,Software Engineering,Software Engineer|D. Software Engineer
VP Software Engineer,VP Software Engineer,VP,Software Engineering,Software Engineer|V. Software Engineer
CTO Software Engineer,CTO Software Engineer,CTO,Software Engineering,Software Engineer|C. Software Engineer
Intern Software Developer,Intern Software Engineer,Intern,Software Engineering,Software Developer
Junior Software Developer,Junior Software Engineer,Junior,Software Engineering,Software Developer
Associate Software Developer,Associate Software Engineer,Associate,Software Engineering,Software Developer|A. Software Developer
Mid-level Software Developer,Mid-level Software Engineer,Mid-level,Software Engineering,Software Developer|M. Software Developer
Senior Software Developer,Senior Software Engineer,Senior,Software Engineering,Software Developer|S. Software Developer
Lead Software Developer,Lead Software Engineer,Lead,Software Engineering,Software Developer|L. Software Developer
Principal Software Developer,Principal Software Engineer,Principal,Software Engineering,Software Developer|P. Software Developer
Staff Software Developer,Staff Software Engineer,Staff,Software Engineering,Software Developer|S. Software Developer
Senior Staff Software Developer,Senior Staff Software Engineer,Senior Staff,Software Engineering,Software Developer|S. Software Developer
Architect Software Developer,Architect Software Engineer,Architect,Software Engineering,Software Developer|A. Software Developer
Director Software Developer,Director Software Engineer,Director,Software Engineering,Software Developer|D. Software Developer
VP Software Developer,VP Software Engineer,VP,Software Engineering,Software Developer|V. Software Developer
CTO Software Developer,CTO Software Engineer,CTO,Software Engineering,Software Developer|C. Software Developer
Intern Full Stack Developer,Intern Full Stack Developer,Intern,Full Stack,Full Stack Developer
Junior Full Stack Developer,Junior Full Stack Developer,Junior,Full Stack,Full Stack Developer
Associate Full Stack Developer,Associate Full Stack Developer,Associate,Full Stack,Full Stack Developer|A. Full Stack Developer
Mid-level Full Stack Developer,Mid-level Full Stack Developer,Mid-level,Full Stack,Full Stack Developer|M. Full Stack Developer
Senior Full Stack Developer,Senior Full Stack Developer,Senior,Full Stack,Full Stack Developer|S. Full Stack Developer
Lead Full Stack Developer,Lead Full Stack Developer,Lead,Full Stack,Full Stack Developer|L. Full Stack Developer
Principal Full Stack Developer,Principal Full Stack Developer,Principal,Full Stack,Full Stack Developer|P. Full Stack Developer
Staff Full Stack Developer,Staff Full Stack Developer,Staff,Full Stack,Full Stack Developer|S. Full Stack Developer
Senior Staff Full Stack Developer,Senior Staff Full Stack Developer,Senior Staff,Full Stack,Full Stack Developer|S. Full Stack Developer
Architect Full Stack Developer,Architect Full Stack Developer,Architect,Full Stack,Full Stack Developer|A. Full Stack Developer
Director Full Stack Developer,Director Full Stack Developer,Director,Full Stack,Full Stack Developer|D. Full Stack Developer
VP Full Stack Developer,VP Full Stack Developer,VP,Full Stack,Full Stack Developer|V. Full Stack Developer
CTO Full Stack Developer,CTO Full Stack Developer,CTO,Full Stack,Full Stack Developer|C. Full Stack Developer
Intern Frontend Developer,Intern Frontend Developer,Intern,Frontend,Frontend Developer
Junior Frontend Developer,Junior Frontend Developer,Junior,Frontend,Frontend Developer
Associate Frontend Developer,Associate Frontend Developer,Associate,Frontend,Frontend Developer|A. Frontend Developer
Mid-level Frontend Developer,Mid-level Frontend Developer,Mid-level,Frontend,Frontend Developer|M. Frontend Developer
Senior Frontend Developer,Senior Frontend Developer,Senior,Frontend,Frontend Developer|S. Frontend Developer
Lead Frontend Developer,Lead Frontend Developer,Lead,Frontend,Frontend Developer|L. Frontend Developer
Principal Frontend Developer,Principal Frontend Developer,Principal,Frontend,Frontend Developer|P. Frontend Developer
Staff Frontend Developer,Staff Frontend Developer,Staff,Frontend,Frontend Developer|S. Frontend Developer
Senior Staff Frontend Developer,Senior Staff Frontend Developer,Senior Staff,Frontend,Frontend Developer|S. Frontend Developer
Architect Frontend Developer,Architect Frontend Developer,Architect,Frontend,Frontend Developer|A. Frontend Developer
Director Frontend Developer,Director Frontend Developer,Director,Frontend,Frontend Developer|D. Frontend Developer
VP Frontend Developer,VP Frontend Developer,VP,Frontend,Frontend Developer|V. Frontend Developer
CTO Frontend Developer,CTO Frontend Developer,CTO,Frontend,Frontend Developer|C. Frontend Developer
Intern Backend Developer,Intern Backend Developer,Intern,Backend,Backend Developer
Junior Backend Developer,Junior Backend Developer,Junior,Backend,Backend Developer
Associate Backend Developer,Associate Backend Developer,Associate,Backend,Backend Developer|A. Backend Developer
Mid-level Backend Developer,Mid-level Backend Developer,Mid-level,Backend,Backend Developer|M. Backend Developer
Senior Backend Developer,Senior Backend Developer,Senior,Backend,Backend Developer|S. Backend Developer
Lead Backend Developer,Lead Backend Developer,Lead,Backend,Backend Developer|L. Backend Developer
Principal Backend Developer,Principal Backend Developer,Principal,Backend,Backend Developer|P. Backend Developer
Staff Backend Developer,Staff Backend Developer,Staff,Backend,Backend Developer|S. Backend Developer
Senior Staff Backend Developer,Senior Staff Backend Developer,Senior Staff,Backend,Backend Developer|S. Backend Developer
Architect Backend Developer,Architect Backend Developer,Architect,Backend,Backend Developer|A. Backend Developer
Director Backend Developer,Director Backend Developer,Director,Backend,Backend Developer|D. Backend Developer
VP Backend Developer,VP Backend Developer,VP,Backend,Backend Developer|V. Backend Developer
CTO Backend Developer,CTO Backend Developer,CTO,Backend,Backend Developer|C. Backend Developer
Intern React Developer,Intern React Developer,Intern,Frontend,React Developer
Junior React Developer,Junior React Developer,Junior,Frontend,React Developer
Associate React Developer,Associate React Developer,Associate,Frontend,React Developer|A. React Developer
Mid-level React Developer,Mid-level React Developer,Mid-level,Frontend,React Developer|M. React Developer
Senior React Developer,Senior React Developer,Senior,Frontend,React Developer|S. React Developer
Lead React Developer,Lead React Developer,Lead,Frontend,React Developer|L. React Developer
Principal React Developer,Principal React Developer,Principal,Frontend,React Developer|P. React Developer
Staff React Developer,Staff React Developer,Staff,Frontend,React Developer|S. React Developer
Senior Staff React Developer,Senior Staff React Developer,Senior Staff,Frontend,React Developer|S. React Developer
Architect React Developer,Architect React Developer,Architect,Frontend,React Developer|A. React Developer
Director React Developer,Director React Developer,Director,Frontend,React Developer|D. React Developer
VP React Developer,VP React Developer,VP,Frontend,React Developer|V. React Developer
CTO React Developer,CTO React Developer,CTO,Frontend,React Developer|C. React Developer
Intern Angular Developer,Intern Angular Developer,Intern,Frontend,Angular Developer
Junior Angular Developer,Junior Angular Developer,Junior,Frontend,Angular Developer
Associate Angular Developer,Associate Angular Developer,Associate,Frontend,Angular Developer|A. Angular Developer
Mid-level Angular Developer,Mid-level Angular Developer,Mid-level,Frontend,Angular Developer|M. Angular Developer
Senior Angular Developer,Senior Angular Developer,Senior,Frontend,Angular Developer|S. Angular Developer
Lead Angular Developer,Lead Angular Developer,Lead,Frontend,Angular Developer|L. Angular Developer
Principal Angular Developer,Principal Angular Developer,Principal,Frontend,Angular Developer|P. Angular Developer
Staff Angular Developer,Staff Angular Developer,Staff,Frontend,Angular Developer|S. Angular Developer
Senior Staff Angular Developer,Senior Staff Angular Developer,Senior Staff,Frontend,Angular Developer|S. Angular Developer
Architect Angular Developer,Architect Angular Developer,Architect,Frontend,Angular Developer|A. Angular Developer
Director Angular Developer,Director Angular Developer,Director,Frontend,Angular Developer|D. Angular Developer
VP Angular Developer,VP Angular Developer,VP,Frontend,Angular Developer|V. Angular Developer
CTO Angular Developer,CTO Angular Developer,CTO,Frontend,Angular Developer|C. Angular Developer
Intern Vue.js Developer,Intern Vue.js Developer,Intern,Frontend,Vue.js Developer
Junior Vue.js Developer,Junior Vue.js Developer,Junior,Frontend,Vue.js Developer
Associate Vue.js Developer,Associate Vue.js Developer,Associate,Frontend,Vue.js Developer|A. Vue.js Developer
Mid-level Vue.js Developer,Mid-level Vue.js Developer,Mid-level,Frontend,Vue.js Developer|M. Vue.js Developer
Senior Vue.js Developer,Senior Vue.js Developer,Senior,Frontend,Vue.js Developer|S. Vue.js Developer
Lead Vue.js Developer,Lead Vue.js Developer,Lead,Frontend,Vue.js Developer|L. Vue.js Developer
Principal Vue.js Developer,Principal Vue.js Developer,Principal,Frontend,Vue.js Developer|P. Vue.js Developer
Staff Vue.js Developer,Staff Vue.js Developer,Staff,Frontend,Vue.js Developer|S. Vue.js Developer
Senior Staff Vue.js Developer,Senior Staff Vue.js Developer,Senior Staff,Frontend,Vue.js Developer|S. Vue.js Developer
Architect Vue.js Developer,Architect Vue.js Developer,Architect,Frontend,Vue.js Developer|A. Vue.js Developer
Director Vue.js Developer,Director Vue.js Developer,Director,Frontend,Vue.js Developer|D. Vue.js Developer
VP Vue.js Developer,VP Vue.js Developer,VP,Frontend,Vue.js Developer|V. Vue.js Developer
CTO Vue.js Developer,CTO Vue.js Developer,CTO,Frontend,Vue.js Developer|C. Vue.js Developer
Intern Java Developer,Intern Java Developer,Intern,Backend,Java Developer
Junior Java Developer,Junior Java Developer,Junior,Backend,Java Developer
Associate Java Developer,Associate Java Developer,Associate,Backend,Java Developer|A. Java Developer
Mid-level Java Developer,Mid-level Java Developer,Mid-level,Backend,Java Developer|M. Java Developer
Senior Java Developer,Senior Java Developer,Senior,Backend,Java Developer|S. Java Developer
Lead Java Developer,Lead Java Developer,Lead,Backend,Java Developer|L. Java Developer
Principal Java Developer,Principal Java Developer,Principal,Backend,Java Developer|P. Java Developer
Staff Java Developer,Staff Java Developer,Staff,Backend,Java Developer|S. Java Developer
Senior Staff Java Developer,Senior Staff Java Developer,Senior Staff,Backend,Java Developer|S. Java Developer
Architect Java Developer,Architect Java Developer,Architect,Backend,Java Developer|A. Java Developer
Director Java Developer,Director Java Developer,Director,Backend,Java Developer|D. Java Developer
VP Java Developer,VP Java Developer,VP,Backend,Java Developer|V. Java Developer
CTO Java Developer,CTO Java Developer,CTO,Backend,Java Developer|C. Java Developer
Intern Python Developer,Intern Python Developer,Intern,Backend,Python Developer
Junior Python Developer,Junior Python Developer,Junior,Backend,Python Developer
Associate Python Developer,Associate Python Developer,Associate,Backend,Python Developer|A. Python Developer
Mid-level Python Developer,Mid-level Python Developer,Mid-level,Backend,Python Developer|M. Python Developer
Senior Python Developer,Senior Python Developer,Senior,Backend,Python Developer|S. Python Developer
Lead Python Developer,Lead Python Developer,Lead,Backend,Python Developer|L. Python Developer
Principal Python Developer,Principal Python Developer,Principal,Backend,Python Developer|P. Python Developer
Staff Python Developer,Staff Python Developer,Staff,Backend,Python Developer|S. Python Developer
Senior Staff Python Developer,Senior Staff Python Developer,Senior Staff,Backend,Python Developer|S. Python Developer
Architect Python Developer,Architect Python Developer,Architect,Backend,Python Developer|A. Python Developer
Director Python Developer,Director Python Developer,Director,Backend,Python Developer|D. Python Developer
VP Python Developer,VP Python Developer,VP,Backend,Python Developer|V. Python Developer
CTO Python Developer,CTO Python Developer,CTO,Backend,Python Developer|C. Python Developer
Intern .NET Developer,Intern .NET Developer,Intern,Backend,.NET Developer
Junior .NET Developer,Junior .NET Developer,Junior,Backend,.NET Developer
Associate .NET Developer,Associate .NET Developer,Associate,Backend,.NET Developer|A. .NET Developer
Mid-level .NET Developer,Mid-level .NET Developer,Mid-level,Backend,.NET Developer|M. .NET Developer
Senior .NET Developer,Senior .NET Developer,Senior,Backend,.NET Developer|S. .NET Developer
Lead .NET Developer,Lead .NET Developer,Lead,Backend,.NET Developer|L. .NET Developer
Principal .NET Developer,Principal .NET Developer,Principal,Backend,.NET Developer|P. .NET Developer
Staff .NET Developer,Staff .NET Developer,Staff,Backend,.NET Developer|S. .NET Developer
Senior Staff .NET Developer,Senior Staff .NET Developer,Senior Staff,Backend,.NET Developer|S. .NET Developer
Architect .NET Developer,Architect .NET Developer,Architect,Backend,.NET Developer|A. .NET Developer
Director .NET Developer,Director .NET Developer,Director,Backend,.NET Developer|D. .NET Developer
VP .NET Developer,VP .NET Developer,VP,Backend,.NET Developer|V. .NET Developer
CTO .NET Developer,CTO .NET Developer,CTO,Backend,.NET Developer|C. .NET Developer
Intern Node.js Developer,Intern Node.js Developer,Intern,Backend,Node.js Developer
Junior Node.js Developer,Junior Node.js Developer,Junior,Backend,Node.js Developer
Associate Node.js Developer,Associate Node.js Developer,Associate,Backend,Node.js Developer|A. Node.js Developer
Mid-level Node.js Developer,Mid-level Node.js Developer,Mid-level,Backend,Node.js Developer|M. Node.js Developer
Senior Node.js Developer,Senior Node.js Developer,Senior,Backend,Node.js Developer|S. Node.js Developer
Lead Node.js Developer,Lead Node.js Developer,Lead,Backend,Node.js Developer|L. Node.js Developer
Principal Node.js Developer,Principal Node.js Developer,Principal,Backend,Node.js Developer|P. Node.js Developer
Staff Node.js Developer,Staff Node.js Developer,Staff,Backend,Node.js Developer|S. Node.js Developer
Senior Staff Node.js Developer,Senior Staff Node.js Developer,Senior Staff,Backend,Node.js Developer|S. Node.js Developer
Architect Node.js Developer,Architect Node.js Developer,Architect,Backend,Node.js Developer|A. Node.js Developer
Director Node.js Developer,Director Node.js Developer,Director,Backend,Node.js Developer|D. Node.js Developer
VP Node.js Developer,VP Node.js Developer,VP,Backend,Node.js Developer|V. Node.js Developer
CTO Node.js Developer,CTO Node.js Developer,CTO,Backend,Node.js Developer|C. Node.js Developer
Intern Go Developer,Intern Go Developer,Intern,Backend,Go Developer
Junior Go Developer,Junior Go Developer,Junior,Backend,Go Developer
Associate Go Developer,Associate Go Developer,Associate,Backend,Go Developer|A. Go Developer
Mid-level Go Developer,Mid-level Go Developer,Mid-level,Backend,Go Developer|M. Go Developer
Senior Go Developer,Senior Go Developer,Senior,Backend,Go Developer|S. Go Developer
Lead Go Developer,Lead Go Developer,Lead,Backend,Go Developer|L. Go Developer
Principal Go Developer,Principal Go Developer,Principal,Backend,Go Developer|P. Go Developer
Staff Go Developer,Staff Go Developer,Staff,Backend,Go Developer|S. Go Developer
Senior Staff Go Developer,Senior Staff Go Developer,Senior Staff,Backend,Go Developer|S. Go Developer
